from,to
Western Asia,Cyprus
Eastern Europe,Czechia
Eastern Asia,Democratic People's Republic of Korea
Middle Africa,Democratic Republic of the Congo
Northern Europe,Denmark
Eastern Africa,Djibouti
Caribbean,Dominica
Caribbean,Dominican Republic
South America,Ecuador
Northern Africa,Egypt
Central America,El Salvador
Middle Africa,Equatorial Guinea
Eastern Africa,Eritrea
Northern Europe,Estonia
Southern Africa,Eswatini
Eastern Africa,Ethiopia
South America,Falkland Islands (Malvinas)
Northern Europe,Faroe Islands
Melanesia,Fiji
Northern Europe,Finland
Western Europe,France
South America,French Guiana
Polynesia,French Polynesia
Eastern Africa,French Southern Territories
Middle Africa,Gabon
Western Africa,Gambia
Western Asia,Georgia
Western Europe,Germany
Western Africa,Ghana
Southern Europe,Gibraltar
Southern Europe,Greece
Northern America,Greenland
Caribbean,Grenada
Caribbean,Guadeloupe
Micronesia,Guam
Central America,Guatemala
Northern Europe,Guernsey
Western Africa,Guinea
Western Africa,Guinea-Bissau
South America,Guyana
Caribbean,Haiti
Australia and New Zealand,Heard Island and McDonald Islands
Southern Europe,Holy See
Central America,Honduras
Eastern Europe,Hungary
Northern Europe,Iceland
Southern Asia,India
South-eastern Asia,Indonesia
Southern Asia,Iran (Islamic Republic of)
Western Asia,Iraq
Northern Europe,Ireland
Northern Europe,Isle of Man
Western Asia,Israel
Southern Europe,Italy
Caribbean,Jamaica
Eastern Asia,Japan
Northern Europe,Jersey
Western Asia,Jordan
Central Asia,Kazakhstan
Eastern Africa,Kenya
Micronesia,Kiribati
Western Asia,Kuwait
Central Asia,Kyrgyzstan
South-eastern Asia,Lao People's Democratic Republic
Northern Europe,Latvia
Western Asia,Lebanon
Southern Africa,Lesotho
Western Africa,Liberia
Northern Africa,Libya
Western Europe,Liechtenstein
Northern Europe,Lithuania
Western Europe,Luxembourg
Eastern Africa,Madagascar
Eastern Africa,Malawi
South-eastern Asia,Malaysia
Southern Asia,Maldives
Western Africa,Mali
Southern Europe,Malta
Micronesia,Marshall Islands
Caribbean,Martinique
Western Africa,Mauritania
Eastern Africa,Mauritius
Eastern Africa,Mayotte
Central America,Mexico
Micronesia,Micronesia (Federated States of)
Western Europe,Monaco
Eastern Asia,Mongolia
Southern Europe,Montenegro
Caribbean,Montserrat
Northern Africa,Morocco
Eastern Africa,Mozambique
South-eastern Asia,Myanmar
Southern Africa,Namibia
Micronesia,Nauru
Southern Asia,Nepal
Western Europe,Netherlands
Melanesia,New Caledonia
Australia and New Zealand,New Zealand
Central America,Nicaragua
Western Africa,Niger
Western Africa,Nigeria
Polynesia,Niue
Australia and New Zealand,Norfolk Island
Southern Europe,North Macedonia
Micronesia,Northern Mariana Islands
Northern Europe,Norway
Western Asia,Oman
Southern Asia,Pakistan
Micronesia,Palau
Central America,Panama
Melanesia,Papua New Guinea
South America,Paraguay
South America,Peru
South-eastern Asia,Philippines
Polynesia,Pitcairn
Eastern Europe,Poland
Southern Europe,Portugal
Caribbean,Puerto Rico
Western Asia,Qatar
Eastern Asia,Republic of Korea
Eastern Europe,Republic of Moldova
Eastern Africa,Réunion
Eastern Europe,Romania
Eastern Europe,Russian Federation
Eastern Africa,Rwanda
Caribbean,Saint Barthélemy
Western Africa,Saint Helena
Caribbean,Saint Kitts and Nevis
Caribbean,Saint Lucia
Caribbean,Saint Martin (French Part)
Northern America,Saint Pierre and Miquelon
Caribbean,Saint Vincent and the Grenadines
Polynesia,Samoa
Southern Europe,San Marino
Middle Africa,Sao Tome and Principe
Northern Europe,Sark
Western Asia,Saudi Arabia
Western Africa,Senegal
Southern Europe,Serbia
Eastern Africa,Seychelles
Western Africa,Sierra Leone
South-eastern Asia,Singapore
Caribbean,Sint Maarten (Dutch part)
Eastern Europe,Slovakia
Southern Europe,Slovenia
Melanesia,Solomon Islands
Eastern Africa,Somalia
Southern Africa,South Africa
South America,South Georgia and the South Sandwich Islands
Eastern Africa,South Sudan
Southern Europe,Spain
Southern Asia,Sri Lanka
Western Asia,State of Palestine
Northern Africa,Sudan
South America,Suriname
Northern Europe,Svalbard and Jan Mayen Islands
Northern Europe,Sweden
Western Europe,Switzerland
Western Asia,Syrian Arab Republic
Central Asia,Tajikistan
South-eastern Asia,Thailand
South-eastern Asia,Timor-Leste
Western Africa,Togo
Polynesia,Tokelau
Polynesia,Tonga
Caribbean,Trinidad and Tobago
Northern Africa,Tunisia
Western Asia,Turkey
Central Asia,Turkmenistan
Caribbean,Turks and Caicos Islands
Polynesia,Tuvalu
Eastern Africa,Uganda
Eastern Europe,Ukraine
Western Asia,United Arab Emirates
Northern Europe,United Kingdom of Great Britain and Northern Ireland
Eastern Africa,United Republic of Tanzania
Micronesia,United States Minor Outlying Islands
Northern America,United States of America
Caribbean,United States Virgin Islands
South America,Uruguay
Central Asia,Uzbekistan
Melanesia,Vanuatu
South America,Venezuela (Bolivarian Republic of)
South-eastern Asia,Viet Nam
Polynesia,Wallis and Futuna Islands
Northern Africa,Western Sahara
Western Asia,Yemen
Eastern Africa,Zambia
Eastern Africa,Zimbabwe
